subject,total_session,total_entries,entry_time,entry_time_pct,crossings_per_area,behavior,behavior_frequency,behavior_time,rater
EM01,OPEN ARM,14,177.22655,53.8461538461538 %,106,G = GROOMING,0,0,Maya
EM01,CLOSED ARM,12,91.484514,46.1538461538462 %,76,H = HEAD DIP,28,126.53516,Maya
EM01,CENTRAL SQUARE (epm),,31.288936,,25,R = REARING,14,25.40249,Maya
EM02,OPEN ARM,19,168.086035,61.2903225806452 %,105,G = GROOMING,0,0,Maya
EM02,CLOSED ARM,12,81.816294,38.7096774193548 %,62,H = HEAD DIP,31,118.007816,Maya
EM02,CENTRAL SQUARE (epm),,50.097671,,31,R = REARING,21,48.51182,Maya
EM07,OPEN ARM,15,140.30868,51.7241379310345 %,68,G = GROOMING,0,0,Maya
EM07,CLOSED ARM,14,105.308499,48.2758620689655 %,74,H = HEAD DIP,25,109.23428,Maya
EM07,CENTRAL SQUARE (epm),,54.382821,,28,R = REARING,20,52.40999,Maya
EM08,OPEN ARM,17,139.484475,56.6666666666667 %,77,G = GROOMING,0,0,Maya
EM08,CLOSED ARM,13,104.29304,43.3333333333333 %,87,H = HEAD DIP,38,100.797091,Maya
EM08,CENTRAL SQUARE (epm),,56.222485,,29,R = REARING,20,58.40968,Maya
EM11,OPEN ARM,9,94.218704,40.9090909090909 %,29,G = GROOMING,0,0,Maya
EM11,CLOSED ARM,13,151.24618,59.0909090909091 %,83,H = HEAD DIP,31,73.957228,Maya
EM11,CENTRAL SQUARE (epm),,54.535116,,21,R = REARING,12,33.42969,Maya
EM12,OPEN ARM,7,85.00784,46.6666666666667 %,18,G = GROOMING,0,0,Maya
EM12,CLOSED ARM,8,186.703126,53.3333333333333 %,78,H = HEAD DIP,20,55.84765,Maya
EM12,CENTRAL SQUARE (epm),,28.289034,,14,R = REARING,14,45.72678,Maya